year,crime_rate,State
1960.0,6097.0,Alabama
1960.0,235.99999999999997,Alaska
1960.0,2704.0000000000005,Arizona
1960.0,1924.0,Arkansas
1960.0,37558.0,California
1960.0,2408.0,Colorado
1960.0,928.0,Connecticut
1960.0,375.00000000000006,Delaware
1960.0,4230.0,District of Columbia
1960.0,11061.0,Florida
1960.0,6262.0,Georgia
1960.0,138.0,Hawaii
1960.0,255.00000000000003,Idaho
1960.0,36802.0,Illinois
1960.0,3945.0000000000005,Indiana
1960.0,656.0,Iowa
1960.0,1272.0,Kansas
1960.0,2957.0000000000005,Kentucky
1960.0,4990.0,Louisiana
1960.0,289.0,Maine
1960.0,4691.0,Maryland
1960.0,2512.0,Massachusetts
1960.0,17034.0,Michigan
1960.0,1435.0,Minnesota
1960.0,2236.0,Mississippi
1960.0,7468.0,Missouri
1960.0,453.0,Montana
1960.0,590.0,Nebraska
1960.0,416.0,Nevada
1960.0,81.00000000000001,New Hampshire
1960.0,6932.0,New Jersey
1960.0,1360.0,New Mexico
1960.0,127040.66062578901,New York
1960.0,10182.0,North Carolina
1960.0,90.0,North Dakota
1960.0,8120.000000000001,Ohio
1960.0,2258.0,Oklahoma
1960.0,1232.0,Oregon
1960.0,11203.0,Pennsylvania
1960.0,316.0,Rhode Island
1960.0,3424.0,South Carolina
1960.0,282.0,South Dakota
1960.0,3250.0000000000005,Tennessee
1960.0,15428.0,Texas
1960.0,484.0,Utah
1960.0,37.0,Vermont
1960.0,7286.0,Virginia
1960.0,1616.0,Washington
1960.0,1200.0,West Virginia
1960.0,1261.0,Wisconsin
1960.0,362.0,Wyoming
1961.0000000000002,5563.999999999999,Alabama
1961.0000000000002,208.0,Alaska
1961.0000000000002,2288.0,Arizona
1961.0000000000002,1808.9999999999998,Arkansas
1961.0000000000002,38154.0,California
1961.0000000000002,2659.0,Colorado
1961.0000000000002,878.0,Connecticut
1961.0000000000002,318.0,Delaware
1961.0000000000002,4491.0,District of Columbia
1961.0000000000002,11376.0,Florida
1961.0000000000002,6269.0,Georgia
1961.0000000000002,161.0,Hawaii
1961.0000000000002,221.99999999999997,Idaho
1961.0000000000002,37156.0,Illinois
1961.0000000000002,4044.0,Indiana
1961.0000000000002,643.0,Iowa
1961.0000000000002,1282.0,Kansas
1961.0000000000002,2907.0,Kentucky
1961.0000000000002,4508.0,Louisiana
1961.0000000000002,334.0,Maine
1961.0000000000002,4959.0,Maryland
1961.0000000000002,2777.0,Massachusetts
1961.0000000000002,16499.0,Michigan
1961.0000000000002,1505.0,Minnesota
1961.0000000000002,2274.0,Mississippi
1961.0000000000002,7266.0,Missouri
1961.0000000000002,457.0,Montana
1961.0000000000002,586.0,Nebraska
1961.0000000000002,549.0,Nevada
1961.0000000000002,88.99999999999999,New Hampshire
1961.0000000000002,6682.0,New Jersey
1961.0000000000002,1278.0,New Mexico
1961.0000000000002,127653.72005441615,New York
1961.0000000000002,9275.0,North Carolina
1961.0000000000002,160.0,North Dakota
1961.0000000000002,7986.0,Ohio
1961.0000000000002,2437.0,Oklahoma
1961.0000000000002,1242.0,Oregon
1961.0000000000002,11223.0,Pennsylvania
1961.0000000000002,372.0,Rhode Island
1961.0000000000002,3318.0,South Carolina
1961.0000000000002,245.0,South Dakota
1961.0000000000002,3910.0,Tennessee
1961.0000000000002,15441.0,Texas
1961.0000000000002,451.0,Utah
1961.0000000000002,79.0,Vermont
1961.0000000000002,7555.0,Virginia
1961.0000000000002,1687.0,Washington
1961.0000000000002,1167.0,West Virginia
1961.0000000000002,1268.0,Wisconsin
1961.0000000000002,288.0,Wyoming
1962.0,5283.0,Alabama
1962.0,225.0,Alaska
1962.0,2610.0,Arizona
1962.0,1667.0,Arkansas
1962.0,39846.0,California
1962.0,2990.0,Colorado
1962.0,938.0,Connecticut
1962.0,338.00000000000006,Delaware
1962.0,4750.0,District of Columbia
1962.0,10489.0,Florida
1962.0,6200.0,Georgia
1962.0,256.0,Hawaii
1962.0,234.00000000000003,Idaho
1962.0,38926.0,Illinois
1962.0,4191.0,Indiana
1962.0,559.0,Iowa
1962.0,1477.0000000000002,Kansas
1962.0,2962.9999999999995,Kentucky
1962.0,4570.0,Louisiana
1962.0,277.0,Maine
1962.0,4915.0,Maryland
1962.0,3207.0000000000005,Massachusetts
1962.0,18106.0,Michigan
1962.0,1673.9999999999998,Minnesota
1962.0,2079.0,Mississippi
1962.0,8059.0,Missouri
1962.0,390.0,Montana
1962.0,637.0,Nebraska
1962.0,711.0,Nevada
1962.0,177.99999999999997,New Hampshire
1962.0,7874.0,New Jersey
1962.0,1338.0,New Mexico
1962.0,128266.77948304305,New York
1962.0,9533.0,North Carolina
1962.0,128.0,North Dakota
1962.0,8366.0,Ohio
1962.0,2478.0,Oklahoma
1962.0,1461.0,Oregon
1962.0,11856.0,Pennsylvania
1962.0,402.0,Rhode Island
1962.0,3011.9999999999995,South Carolina
1962.0,279.0,South Dakota
1962.0,3767.0000000000005,Tennessee
1962.0,15516.000000000002,Texas
1962.0,554.0,Utah
1962.0,57.0,Vermont
1962.0,7720.0,Virginia
1962.0,1913.0,Washington
1962.0,1146.0,West Virginia
1962.0,1174.0,Wisconsin
1962.0,156.0,Wyoming
1963.0000000000002,6115.000000000001,Alabama
1963.0000000000002,272.0,Alaska
1963.0000000000002,3027.0,Arizona
1963.0000000000002,1991.0,Arkansas
1963.0000000000002,42419.0,California
1963.0000000000002,2555.0,Colorado
1963.0000000000002,1192.0,Connecticut
1963.0000000000002,424.0,Delaware
1963.0000000000002,4740.0,District of Columbia
1963.0000000000002,12150.000000000002,Florida
1963.0000000000002,7019.0,Georgia
1963.0000000000002,214.99999999999997,Hawaii
1963.0000000000002,362.0,Idaho
1963.0000000000002,33627.0,Illinois
1963.0000000000002,4819.0,Indiana
1963.0000000000002,629.0,Iowa
1963.0000000000002,1831.0,Kansas
1963.0000000000002,2849.0,Kentucky
1963.0000000000002,5798.0,Louisiana
1963.0000000000002,306.0,Maine
1963.0000000000002,5283.0,Maryland
1963.0000000000002,3454.0000000000005,Massachusetts
1963.0000000000002,18478.0,Michigan
1963.0000000000002,1983.0,Minnesota
1963.0000000000002,1779.0,Mississippi
1963.0000000000002,8629.0,Missouri
1963.0000000000002,414.0,Montana
1963.0000000000002,591.0,Nebraska
1963.0000000000002,755.0000000000001,Nevada
1963.0000000000002,164.0,New Hampshire
1963.0000000000002,8849.0,New Jersey
1963.0000000000002,1376.0,New Mexico
1963.0000000000002,128879.83891167019,New York
1963.0000000000002,10038.0,North Carolina
1963.0000000000002,182.0,North Dakota
1963.0000000000002,9086.0,Ohio
1963.0000000000002,2807.9999999999995,Oklahoma
1963.0000000000002,1393.0,Oregon
1963.0000000000002,12678.000000000002,Pennsylvania
1963.0000000000002,499.99999999999994,Rhode Island
1963.0000000000002,4075.0,South Carolina
1963.0000000000002,278.0,South Dakota
1963.0000000000002,3777.0,Tennessee
1963.0000000000002,17511.0,Texas
1963.0000000000002,598.0,Utah
1963.0000000000002,92.0,Vermont
1963.0000000000002,8259.0,Virginia
1963.0000000000002,2034.0,Washington
1963.0000000000002,1185.0,West Virginia
1963.0000000000002,1312.0,Wisconsin
1963.0000000000002,213.00000000000003,Wyoming
1964.0,7260.0,Alabama
1964.0,375.00000000000006,Alaska
1964.0,3367.9999999999995,Arizona
1964.0,2641.0,Arkansas
1964.0,48026.0,California
1964.0,3119.0,Colorado
1964.0,1772.9999999999998,Connecticut
1964.0,541.0,Delaware
1964.0,5112.0,District of Columbia
1964.0,16539.0,Florida
1964.0,8285.0,Georgia
1964.0,575.0,Hawaii
1964.0,537.0,Idaho
1964.0,36916.0,Illinois
1964.0,6563.999999999999,Indiana
1964.0,1007.0,Iowa
1964.0,2573.0,Kansas
1964.0,3486.0,Kentucky
1964.0,7140.0,Louisiana
1964.0,506.0,Maine
1964.0,7446.0,Maryland
1964.0,4559.0,Massachusetts
1964.0,21153.0,Michigan
1964.0,2601.0,Minnesota
1964.0,4118.0,Mississippi
1964.0,9553.0,Missouri
1964.0,564.0,Montana
1964.0,776.0,Nebraska
1964.0,983.0,Nevada
1964.0,149.0,New Hampshire
1964.0,10456.0,New Jersey
1964.0,1613.0,New Mexico
1964.0,129492.89834029714,New York
1964.0,12345.000000000002,North Carolina
1964.0,228.99999999999997,North Dakota
1964.0,11582.0,Ohio
1964.0,3609.0000000000005,Oklahoma
1964.0,2009.0,Oregon
1964.0,14161.999999999998,Pennsylvania
1964.0,578.0,Rhode Island
1964.0,4240.0,South Carolina
1964.0,408.0,South Dakota
1964.0,4505.0,Tennessee
1964.0,19769.0,Texas
1964.0,887.9999999999999,Utah
1964.0,88.99999999999999,Vermont
1964.0,10561.0,Virginia
1964.0,2761.0,Washington
1964.0,1359.0,West Virginia
1964.0,1762.0,Wisconsin
1964.0,285.0,Wyoming
1965.0000000000002,6916.0,Alabama
1965.0000000000002,377.0,Alaska
1965.0000000000002,3092.0000000000005,Arizona
1965.0000000000002,2662.0,Arkansas
1965.0000000000002,52490.0,California
1965.0000000000002,3007.0,Colorado
1965.0000000000002,1973.0,Connecticut
1965.0000000000002,561.0,Delaware
1965.0000000000002,5804.0,District of Columbia
1965.0000000000002,17386.0,Florida
1965.0000000000002,8777.0,Georgia
1965.0000000000002,490.99999999999994,Hawaii
1965.0000000000002,493.0,Idaho
1965.0000000000002,34345.0,Illinois
1965.0000000000002,6695.000000000001,Indiana
1965.0000000000002,1067.0,Iowa
1965.0000000000002,2392.0,Kansas
1965.0000000000002,3463.0,Kentucky
1965.0000000000002,7178.000000000001,Louisiana
1965.0000000000002,437.0,Maine
1965.0000000000002,10032.0,Maryland
1965.0000000000002,5270.0,Massachusetts
1965.0000000000002,24459.000000000004,Michigan
1965.0000000000002,3074.0,Minnesota
1965.0000000000002,3949.0,Mississippi
1965.0000000000002,10588.0,Missouri
1965.0000000000002,514.0,Montana
1965.0000000000002,852.0000000000001,Nebraska
1965.0000000000002,953.0,Nevada
1965.0000000000002,156.0,New Hampshire
1965.0000000000002,10422.0,New Jersey
1965.0000000000002,2047.0,New Mexico
1965.0000000000002,58802.00000000001,New York
1965.0000000000002,12755.0,North Carolina
1965.0000000000002,223.0,North Dakota
1965.0000000000002,12788.0,Ohio
1965.0000000000002,3339.0000000000005,Oklahoma
1965.0000000000002,2290.0,Oregon
1965.0000000000002,16384.0,Pennsylvania
1965.0000000000002,722.0000000000001,Rhode Island
1965.0000000000002,4504.0,South Carolina
1965.0000000000002,415.0,South Dakota
1965.0000000000002,5333.0,Tennessee
1965.0000000000002,21029.0,Texas
1965.0000000000002,886.0,Utah
1965.0000000000002,88.99999999999999,Vermont
1965.0000000000002,10145.0,Virginia
1965.0000000000002,3081.0,Washington
1965.0000000000002,1413.0,West Virginia
1965.0000000000002,1910.9999999999998,Wisconsin
1965.0000000000002,257.0,Wyoming
1966.0,8098.0,Alabama
1966.0,409.0,Alaska
1966.0,3272.0,Arizona
1966.0,3185.0,Arkansas
1966.0,57718.0,California
1966.0,3340.0,Colorado
1966.0,2146.0,Connecticut
1966.0,655.0,Delaware
1966.0,7155.000000000001,District of Columbia
1966.0,20069.0,Florida
1966.0,9066.0,Georgia
1966.0,598.0,Hawaii
1966.0,461.0,Idaho
1966.0,39116.0,Illinois
1966.0,7196.0,Indiana
1966.0,1214.0,Iowa
1966.0,2517.0,Kansas
1966.0,4191.0,Kentucky
1966.0,8689.0,Louisiana
1966.0,485.99999999999994,Maine
1966.0,11236.0,Maryland
1966.0,6201.000000000001,Massachusetts
1966.0,27806.0,Michigan
1966.0,3691.0,Minnesota
1966.0,3504.0,Mississippi
1966.0,11149.0,Missouri
1966.0,507.0,Montana
1966.0,941.0000000000001,Nebraska
1966.0,987.0000000000001,Nevada
1966.0,259.0,New Hampshire
1966.0,11168.0,New Jersey
1966.0,2221.0,New Mexico
1966.0,62561.0,New York
1966.0,14775.0,North Carolina
1966.0,231.0,North Dakota
1966.0,15626.0,Ohio
1966.0,3551.9999999999995,Oklahoma
1966.0,2470.0,Oregon
1966.0,15169.0,Pennsylvania
1966.0,849.0,Rhode Island
1966.0,5844.0,South Carolina
1966.0,568.0,South Dakota
1966.0,6145.0,Tennessee
1966.0,24382.0,Texas
1966.0,1148.0,Utah
1966.0,80.0,Vermont
1966.0,10399.0,Virginia
1966.0,3673.0,Washington
1966.0,1613.0,West Virginia
1966.0,1984.0000000000002,Wisconsin
1966.0,273.0,Wyoming
1967.0000000000002,8448.0,Alabama
1967.0000000000002,437.0,Alaska
1967.0000000000002,3892.0,Arizona
1967.0000000000002,4320.0,Arkansas
1967.0000000000002,67446.0,California
1967.0000000000002,3789.0,Colorado
1967.0000000000002,2804.0,Connecticut
1967.0000000000002,948.0,Delaware
1967.0000000000002,9252.0,District of Columbia
1967.0000000000002,23399.0,Florida
1967.0000000000002,8536.0,Georgia
1967.0000000000002,591.0,Hawaii
1967.0000000000002,478.0,Idaho
1967.0000000000002,42956.0,Illinois
1967.0000000000002,8143.000000000001,Indiana
1967.0000000000002,1608.0,Iowa
1967.0000000000002,3248.0,Kansas
1967.0000000000002,4484.0,Kentucky
1967.0000000000002,10071.0,Louisiana
1967.0000000000002,621.0,Maine
1967.0000000000002,17458.0,Maryland
1967.0000000000002,6919.000000000001,Massachusetts
1967.0000000000002,33390.0,Michigan
1967.0000000000002,4727.0,Minnesota
1967.0000000000002,2672.0,Mississippi
1967.0000000000002,12746.0,Missouri
1967.0000000000002,588.0,Montana
1967.0000000000002,1624.0,Nebraska
1967.0000000000002,1100.0,Nevada
1967.0000000000002,218.0,New Hampshire
1967.0000000000002,13204.0,New Jersey
1967.0000000000002,2325.0,New Mexico
1967.0000000000002,75124.0,New York
1967.0000000000002,15995.0,North Carolina
1967.0000000000002,184.99999999999997,North Dakota
1967.0000000000002,19344.0,Ohio
1967.0000000000002,3703.0,Oklahoma
1967.0000000000002,3146.9999999999995,Oregon
1967.0000000000002,16119.0,Pennsylvania
1967.0000000000002,1156.0,Rhode Island
1967.0000000000002,6015.0,South Carolina
1967.0000000000002,586.0,South Dakota
1967.0000000000002,8111.0,Tennessee
1967.0000000000002,26749.0,Texas
1967.0000000000002,1194.0,Utah
1967.0000000000002,86.0,Vermont
1967.0000000000002,10328.0,Virginia
1967.0000000000002,4754.0,Washington
1967.0000000000002,1744.0,West Virginia
1967.0000000000002,2948.0,Wisconsin
1967.0000000000002,294.0,Wyoming
1968.0,8288.0,Alabama
1968.0,485.99999999999994,Alaska
1968.0,4402.0,Arizona
1968.0,4360.0,Arkansas
1968.0,81293.0,California
1968.0,5387.0,Colorado
1968.0,3825.0,Connecticut
1968.0,1288.0,Delaware
1968.0,12180.0,District of Columbia
1968.0,27913.0,Florida
1968.0,9903.0,Georgia
1968.0,662.0,Hawaii
1968.0,518.0,Idaho
1968.0,44776.0,Illinois
1968.0,10229.0,Indiana
1968.0,1882.0000000000002,Iowa
1968.0,3463.0,Kansas
1968.0,5317.0,Kentucky
1968.0,11742.0,Louisiana
1968.0,633.0,Maine
1968.0,23404.999999999996,Maryland
1968.0,8916.0,Massachusetts
1968.0,37292.0,Michigan
1968.0,5111.0,Minnesota
1968.0,3397.0,Mississippi
1968.0,15216.0,Missouri
1968.0,610.0,Montana
1968.0,2103.0,Nebraska
1968.0,1261.0,Nevada
1968.0,279.0,New Hampshire
1968.0,16711.0,New Jersey
1968.0,2543.0,New Mexico
1968.0,98515.0,New York
1968.0,18025.0,North Carolina
1968.0,173.0,North Dakota
1968.0,21228.0,Ohio
1968.0,4473.0,Oklahoma
1968.0,3955.0,Oregon
1968.0,20710.0,Pennsylvania
1968.0,1254.0,Rhode Island
1968.0,5853.0,South Carolina
1968.0,563.0,South Dakota
1968.0,8766.0,Tennessee
1968.0,29646.0,Texas
1968.0,1201.0,Utah
1968.0,157.0,Vermont
1968.0,12821.0,Virginia
1968.0,6970.0,Washington
1968.0,1959.0,West Virginia
1968.0,3400.0,Wisconsin
1968.0,278.0,Wyoming
1969.0000000000002,8842.0,Alabama
1969.0000000000002,624.0,Alaska
1969.0000000000002,5741.999999999999,Arizona
1969.0000000000002,4390.0,Arkansas
1969.0000000000002,89878.0,California
1969.0000000000002,6275.0,Colorado
1969.0000000000002,4415.0,Connecticut
1969.0000000000002,1588.0,Delaware
1969.0000000000002,17038.0,District of Columbia
1969.0000000000002,29411.0,Florida
1969.0000000000002,11235.0,Georgia
1969.0000000000002,683.9999999999999,Hawaii
1969.0000000000002,806.0000000000001,Idaho
1969.0000000000002,49542.99999999999,Illinois
1969.0000000000002,10141.0,Indiana
1969.0000000000002,1918.0000000000002,Iowa
1969.0000000000002,3873.0,Kansas
1969.0000000000002,5745.0,Kentucky
1969.0000000000002,13492.0,Louisiana
1969.0000000000002,733.0,Maine
1969.0000000000002,24295.0,Maryland
1969.0000000000002,10272.0,Massachusetts
1969.0000000000002,44048.00000000001,Michigan
1969.0000000000002,5253.0,Minnesota
1969.0000000000002,3354.0,Mississippi
1969.0000000000002,18260.0,Missouri
1969.0000000000002,682.0,Montana
1969.0000000000002,2302.0,Nebraska
1969.0000000000002,1642.0,Nevada
1969.0000000000002,325.0,New Hampshire
1969.0000000000002,17226.0,New Jersey
1969.0000000000002,2881.0,New Mexico
1969.0000000000002,105870.0,New York
1969.0000000000002,18117.0,North Carolina
1969.0000000000002,220.00000000000003,North Dakota
1969.0000000000002,26648.0,Ohio
1969.0000000000002,4775.0,Oklahoma
1969.0000000000002,4527.0,Oregon
1969.0000000000002,22887.0,Pennsylvania
1969.0000000000002,1594.0,Rhode Island
1969.0000000000002,6448.999999999999,South Carolina
1969.0000000000002,510.00000000000006,South Dakota
1969.0000000000002,9235.0,Tennessee
1969.0000000000002,36707.0,Texas
1969.0000000000002,1459.9999999999998,Utah
1969.0000000000002,234.00000000000003,Vermont
1969.0000000000002,12433.0,Virginia
1969.0000000000002,8243.0,Washington
1969.0000000000002,1766.0,West Virginia
1969.0000000000002,3410.9999999999995,Wisconsin
1969.0000000000002,286.0,Wyoming
1970.0,10185.0,Alabama
1970.0,840.0,Alaska
1970.0,6563.999999999999,Arizona
1970.0,4276.0,Arkansas
1970.0,94741.00000000001,California
1970.0,7874.0,Colorado
1970.0,5167.0,Connecticut
1970.0,1795.0,Delaware
1970.0,16846.0,District of Columbia
1970.0,33824.0,Florida
1970.0,13976.000000000002,Georgia
1970.0,938.0,Hawaii
1970.0,879.0,Idaho
1970.0,52005.99999999999,Illinois
1970.0,12184.000000000002,Indiana
1970.0,2241.0,Iowa
1970.0,4561.0,Kansas
1970.0,7157.0,Kentucky
1970.0,15063.0,Louisiana
1970.0,887.0,Maine
1970.0,24512.0,Maryland
1970.0,11541.999999999998,Massachusetts
1970.0,51090.0,Michigan
1970.0,5782.000000000001,Minnesota
1970.0,3973.9999999999995,Mississippi
1970.0,18986.0,Missouri
1970.0,774.0,Montana
1970.0,2731.0,Nebraska
1970.0,1948.0,Nevada
1970.0,413.0,New Hampshire
1970.0,20583.0,New Jersey
1970.0,3093.0,New Mexico
1970.0,124613.00000000001,New York
1970.0,18814.0,North Carolina
1970.0,211.0,North Dakota
1970.0,30279.0,Ohio
1970.0,5194.0,Oklahoma
1970.0,5373.0,Oregon
1970.0,25970.0,Pennsylvania
1970.0,1943.9999999999998,Rhode Island
1970.0,7412.0,South Carolina
1970.0,616.0,South Dakota
1970.0,10787.0,Tennessee
1970.0,40897.0,Texas
1970.0,1459.0,Utah
1970.0,329.0,Vermont
1970.0,14040.0,Virginia
1970.0,7545.999999999999,Washington
1970.0,2158.0,West Virginia
1970.0,3792.0,Wisconsin
1970.0,376.0,Wyoming
1971.0000000000002,10835.0,Alabama
1971.0000000000002,1112.0,Alaska
1971.0000000000002,7407.0,Arizona
1971.0000000000002,4680.0,Arkansas
1971.0000000000002,104872.0,California
1971.0000000000002,8530.0,Colorado
1971.0000000000002,5968.0,Connecticut
1971.0000000000002,2060.0,Delaware
1971.0000000000002,16084.0,District of Columbia
1971.0000000000002,38575.0,Florida
1971.0000000000002,15898.0,Georgia
1971.0000000000002,1830.0,Hawaii
1971.0000000000002,917.0,Idaho
1971.0000000000002,53436.0,Illinois
1971.0000000000002,13031.0,Indiana
1971.0000000000002,2822.0000000000005,Iowa
1971.0000000000002,4843.0,Kansas
1971.0000000000002,7717.0,Kentucky
1971.0000000000002,15208.0,Louisiana
1971.0000000000002,903.0000000000001,Maine
1971.0000000000002,24857.0,Maryland
1971.0000000000002,15317.0,Massachusetts
1971.0000000000002,51697.0,Michigan
1971.0000000000002,5993.0,Minnesota
1971.0000000000002,6151.0,Mississippi
1971.0000000000002,18357.0,Missouri
1971.0000000000002,971.0,Montana
1971.0000000000002,2355.0,Nebraska
1971.0000000000002,1887.0,Nevada
1971.0000000000002,580.0,New Hampshire
1971.0000000000002,26441.0,New Jersey
1971.0000000000002,3994.0000000000005,New Mexico
1971.0000000000002,145048.0,New York
1971.0000000000002,19952.0,North Carolina
1971.0000000000002,238.0,North Dakota
1971.0000000000002,32159.000000000004,Ohio
1971.0000000000002,6718.999999999999,Oklahoma
1971.0000000000002,6335.0,Oregon
1971.0000000000002,31917.0,Pennsylvania
1971.0000000000002,2129.0,Rhode Island
1971.0000000000002,8188.0,South Carolina
1971.0000000000002,644.0,South Dakota
1971.0000000000002,12520.0,Tennessee
1971.0000000000002,43089.0,Texas
1971.0000000000002,1689.0,Utah
1971.0000000000002,333.0,Vermont
1971.0000000000002,15384.0,Virginia
1971.0000000000002,8154.999999999999,Washington
1971.0000000000002,2311.0,West Virginia
1971.0000000000002,3956.9999999999995,Wisconsin
1971.0000000000002,532.0,Wyoming
1972.0,10994.0,Alabama
1972.0,1204.0,Alaska
1972.0,8731.0,Arizona
1972.0,4840.0,Arkansas
1972.0,110667.0,California
1972.0,9555.0,Colorado
1972.0,6138.000000000001,Connecticut
1972.0,2181.0,Delaware
1972.0,12607.0,District of Columbia
1972.0,40252.0,Florida
1972.0,17823.0,Georgia
1972.0,1258.0,Hawaii
1972.0,1085.0,Idaho
1972.0,57162.0,Illinois
1972.0,12968.0,Indiana
1972.0,2519.0,Iowa
1972.0,4737.0,Kansas
1972.0,7446.0,Kentucky
1972.0,15711.999999999998,Louisiana
1972.0,1143.0,Maine
1972.0,26412.000000000004,Maryland
1972.0,17086.0,Massachusetts
1972.0,50425.0,Michigan
1972.0,6798.0,Minnesota
1972.0,7076.0,Mississippi
1972.0,18223.0,Missouri
1972.0,1079.0,Montana
1972.0,2638.0,Nebraska
1972.0,2264.0,Nevada
1972.0,490.99999999999994,New Hampshire
1972.0,27577.0,New Jersey
1972.0,4598.0,New Mexico
1972.0,138542.0,New York
1972.0,22087.0,North Carolina
1972.0,290.0,North Dakota
1972.0,32286.0,Ohio
1972.0,6289.0,Oklahoma
1972.0,6494.000000000001,Oregon
1972.0,33052.0,Pennsylvania
1972.0,2424.0,Rhode Island
1972.0,10312.0,South Carolina
1972.0,756.0,South Dakota
1972.0,12858.0,Tennessee
1972.0,41285.0,Texas
1972.0,2063.0,Utah
1972.0,445.00000000000006,Vermont
1972.0,16483.0,Virginia
1972.0,8627.0,Washington
1972.0,2299.0,West Virginia
1972.0,4358.0,Wisconsin
1972.0,511.0,Wyoming
1973.0,12390.0,Alabama
1973.0,1269.0,Alaska
1973.0,9877.0,Arizona
1973.0,5905.0,Arkansas
1973.0,116563.00000000001,California
1973.0,10088.0,Colorado
1973.0,6421.0,Connecticut
1973.0,2016.0,Delaware
1973.0,11626.0,District of Columbia
1973.0,46418.99999999999,Florida
1973.0,19738.0,Georgia
1973.0,1295.0,Hawaii
1973.0,1264.0,Idaho
1973.0,62456.99999999999,Illinois
1973.0,13696.0,Indiana
1973.0,2970.0,Iowa
1973.0,4956.0,Kansas
1973.0,7356.000000000001,Kentucky
1973.0,16020.0,Louisiana
1973.0,1258.0,Maine
1973.0,26092.999999999996,Maryland
1973.0,20475.0,Massachusetts
1973.0,52921.0,Michigan
1973.0,6926.0,Minnesota
1973.0,7734.0,Mississippi
1973.0,19441.0,Missouri
1973.0,1207.0,Montana
1973.0,2859.0,Nebraska
1973.0,3135.0000000000005,Nevada
1973.0,649.0,New Hampshire
1973.0,28845.0,New Jersey
1973.0,5219.0,New Mexico
1973.0,135468.0,New York
1973.0,23086.0,North Carolina
1973.0,389.00000000000006,North Dakota
1973.0,31304.0,Ohio
1973.0,6556.0,Oklahoma
1973.0,6511.999999999999,Oregon
1973.0,32397.0,Pennsylvania
1973.0,2749.0,Rhode Island
1973.0,10757.0,South Carolina
1973.0,869.0,South Dakota
1973.0,14770.999999999998,Tennessee
1973.0,45458.0,Texas
1973.0,2412.0,Utah
1973.0,327.0,Vermont
1973.0,16007.0,Virginia
1973.0,9309.0,Washington
1973.0,2219.0,West Virginia
1973.0,5273.0,Wisconsin
1973.0,762.9999999999999,Wyoming
1974.0,13338.0,Alabama
1974.0,1527.0,Alaska
1974.0,12202.0,Arizona
1974.0,6521.0,Arkansas
1974.0,127658.0,California
1974.0,10728.0,Colorado
1974.0,7045.0,Connecticut
1974.0,2539.0,Delaware
1974.0,11590.0,District of Columbia
1974.0,54821.0,Florida
1974.0,21587.0,Georgia
1974.0,1762.0,Hawaii
1974.0,1465.0,Idaho
1974.0,69806.0,Illinois
1974.0,15631.000000000002,Indiana
1974.0,3455.0,Iowa
1974.0,6272.0,Kansas
1974.0,7857.0,Kentucky
1974.0,17794.0,Louisiana
1974.0,1440.0,Maine
1974.0,29439.0,Maryland
1974.0,22545.0,Massachusetts
1974.0,59993.0,Michigan
1974.0,8119.0,Minnesota
1974.0,7782.0,Mississippi
1974.0,21611.999999999996,Missouri
1974.0,1194.0,Montana
1974.0,3697.0,Nebraska
1974.0,3910.0,Nevada
1974.0,739.0,New Hampshire
1974.0,29568.0,New Jersey
1974.0,5053.0,New Mexico
1974.0,145427.0,New York
1974.0,26220.0,North Carolina
1974.0,319.0,North Dakota
1974.0,39094.0,Ohio
1974.0,7588.0,Oklahoma
1974.0,8326.0,Oregon
